board,decision
OXOXOX OX,7
         ,7
XOOXXOOX ,9
 OOOX  XX,7
OXOO  XX ,5
X O XXOXO,4
XO  X   O,6
         ,5
         ,5
  X     O,1
X  OX O  ,9
  OXOXXOX,2
  X O XO ,6
         ,9
 X O     ,5
XO   X  O,8
  XXO    ,1
XXO   XO ,4
     X  O,1
O X  OXXO,5
X O   O X,5
OXOXO XX ,9
XXOO X OX,7
 O XX O X,1
O  OXOX X,8
X   X  OO,7
X  OX   O,3
X    O  X,5
XXOX OO X,5
 XOO  XX ,5
  X      ,5
  O XX O ,4
        X,5
         ,9
    OX OX,3
OXX    O ,7
 O X X O ,5
X   OXOX ,3
 O  OXX  ,8
  XXOOOXX,1
 O     X ,7
XOXO XX O,8
OX OXX   ,7
 XOXOO XX,7
     X   ,5
OXOX  XXO,6
  XOX OXO,2
 O     XX,7
   XOXXO ,2
  XO  X  ,5
X    OO X,5
  X   OOX,6
 O  X XXO,3
OXXOXX O ,7
      X  ,1
   XOOX  ,1
         ,7
 X  XO  O,8
  XO   X ,7
 X OXOX O,8
X    OX O,4
     X   ,5
 O X X  O,5
         ,3
XX OXOXOO,3
XXOO  XXO,6
OXX     O,5
  O   XX ,9
 XO XXXOO,4
OOXO XXXO,5
 XXX OOO ,1
 OOOXXX X,1
 X  OXOOX,3
  OXXO   ,9
 XXOX O O,8
XXO OOXOX,4
    X    ,1
O XXX OXO,6
         ,5
      X  ,9
  XXOX O ,2
 XX   O  ,1
X  X XOO ,9
  OX OXX ,9
O X X O X,4
O XXOXO  ,9
XXOOO   X,6
XOOOXXOX ,9
X   OOX  ,4
XXOXOX O ,7
OXX      ,5
 O  X XO ,3
  XO     ,1
 O   X XO,5
X  O O XX,5
  XX  O  ,9
         ,1
XO      X,5
 O XO  XX,7
X  O   X ,7
OXOO X XX,7
O     XX ,5
OXXO OX X,5
 X       ,1
       X ,5
   XXO O ,9
     X   ,3
O   XOXX ,3
     X   ,8
 XO  XO X,5
  OXOOX X,1
   X  X O,1
X        ,2
 XOXXO OX,1
  XOO OXX,6
  OXXO X ,9
X O O  XX,7
XX OXO  O,3
OOXO XXXO,5
  OX X OX,5
 XXX  OO ,9
OOXX OX  ,5
XOXOX O  ,9
  X X  O ,7
 XOXO   X,7
 O X  X O,1
OXO XXOOX,4
         ,1
 OX XX O ,9
X O XOXO ,4
OO  XXXXO,3
   XOXX O,1
XO X  OOX,5
 XX     O,5
  X XO OX,1
    X  O ,9
  X      ,5
 OX      ,5
XX   XOO ,9
    XO   ,9
 XXOXO O ,1
   XXO   ,3
 OO XXXXO,1
 XOXO    ,1
XOXX X OO,7
O O XXXO ,4
         ,3
   O  OXX,1
  X      ,9
XXOXO  OX,7
 X       ,3
 OX   OXX,6
O OOXXXOX,2
OO    XX ,9
O O XX OX,4
 XX   OO ,1
         ,5
         ,1
  X   O X,1
 XO  XO  ,5
         ,7
X   OXXOO,4
O XXO    ,9
 X      O,1
         ,5
O XOX    ,7
       X ,5
         ,7
OOX   X  ,5
   XOXOX ,3
 XO  OXOX,1
        X,3
 XOX O X ,9
OXO O X X,8
X        ,7
 OOX XX  ,1
   XO X O,1
  OX X   ,5
O      XX,3
OO  XXO X,3
         ,5
   X X  O,5
